Officer-defined ethnicity,Age range,Object of search,Outcome,count
Asian,10-17,Anything to threaten or harm anyone,A no further action disposal,140
Asian,10-17,Anything to threaten or harm anyone,Arrest,7
Asian,10-17,Anything to threaten or harm anyone,Community resolution,1
Asian,10-17,Articles for use in criminal damage,A no further action disposal,24
Asian,10-17,Articles for use in criminal damage,Arrest,1
Asian,10-17,Articles for use in criminal damage,Community resolution,2
Asian,10-17,Controlled drugs,A no further action disposal,3147
Asian,10-17,Controlled drugs,Arrest,282
Asian,10-17,Controlled drugs,Caution (simple or conditional),9
Asian,10-17,Controlled drugs,Community resolution,97
Asian,10-17,Controlled drugs,Penalty Notice for Disorder,12
Asian,10-17,Controlled drugs,Summons / charged by post,63
Asian,10-17,Evidence of offences under the Act,A no further action disposal,209
Asian,10-17,Evidence of offences under the Act,Arrest,42
Asian,10-17,Evidence of offences under the Act,Community resolution,4
Asian,10-17,Evidence of offences under the Act,Penalty Notice for Disorder,1
Asian,10-17,Evidence of offences under the Act,Summons / charged by post,1
Asian,10-17,Firearms,A no further action disposal,16
Asian,10-17,Firearms,Arrest,8
Asian,10-17,Fireworks,A no further action disposal,68
Asian,10-17,Fireworks,Arrest,1
Asian,10-17,Fireworks,Community resolution,2
Asian,10-17,Offensive weapons,A no further action disposal,1317
Asian,10-17,Offensive weapons,Arrest,164
Asian,10-17,Offensive weapons,Community resolution,7
Asian,10-17,Offensive weapons,Penalty Notice for Disorder,4
Asian,10-17,Offensive weapons,Summons / charged by post,9
Asian,10-17,Stolen goods,A no further action disposal,496
Asian,10-17,Stolen goods,Arrest,84
Asian,10-17,Stolen goods,Community resolution,8
Asian,10-17,Stolen goods,Penalty Notice for Disorder,3
Asian,10-17,Stolen goods,Summons / charged by post,4
Asian,18-24,Anything to threaten or harm anyone,A no further action disposal,445
Asian,18-24,Anything to threaten or harm anyone,Arrest,21
Asian,18-24,Anything to threaten or harm anyone,Community resolution,19
Asian,18-24,Anything to threaten or harm anyone,Penalty Notice for Disorder,9
Asian,18-24,Anything to threaten or harm anyone,Summons / charged by post,1
Asian,18-24,Articles for use in criminal damage,A no further action disposal,26
Asian,18-24,Articles for use in criminal damage,Arrest,2
Asian,18-24,Articles for use in criminal damage,Community resolution,1
Asian,18-24,Articles for use in criminal damage,Penalty Notice for Disorder,1
Asian,18-24,Controlled drugs,A no further action disposal,14247
Asian,18-24,Controlled drugs,Arrest,1208
Asian,18-24,Controlled drugs,Caution (simple or conditional),12
Asian,18-24,Controlled drugs,Community resolution,2363
Asian,18-24,Controlled drugs,Penalty Notice for Disorder,1036
Asian,18-24,Controlled drugs,Summons / charged by post,335
Asian,18-24,Evidence of offences under the Act,A no further action disposal,308
Asian,18-24,Evidence of offences under the Act,Arrest,45
Asian,18-24,Evidence of offences under the Act,Community resolution,25
Asian,18-24,Evidence of offences under the Act,Penalty Notice for Disorder,13
Asian,18-24,Evidence of offences under the Act,Summons / charged by post,3
Asian,18-24,Firearms,A no further action disposal,81
Asian,18-24,Firearms,Arrest,8
Asian,18-24,Firearms,Community resolution,5
Asian,18-24,Firearms,Penalty Notice for Disorder,2
Asian,18-24,Fireworks,A no further action disposal,35
Asian,18-24,Fireworks,Community resolution,2
Asian,18-24,Fireworks,Penalty Notice for Disorder,3
Asian,18-24,Offensive weapons,A no further action disposal,2270
Asian,18-24,Offensive weapons,Arrest,261
Asian,18-24,Offensive weapons,Community resolution,91
Asian,18-24,Offensive weapons,Penalty Notice for Disorder,63
Asian,18-24,Offensive weapons,Summons / charged by post,21
Asian,18-24,Stolen goods,A no further action disposal,715
Asian,18-24,Stolen goods,Arrest,132
Asian,18-24,Stolen goods,Community resolution,45
Asian,18-24,Stolen goods,Penalty Notice for Disorder,40
Asian,18-24,Stolen goods,Summons / charged by post,9
Asian,25-34,Anything to threaten or harm anyone,A no further action disposal,222
Asian,25-34,Anything to threaten or harm anyone,Arrest,10
Asian,25-34,Anything to threaten or harm anyone,Community resolution,13
Asian,25-34,Anything to threaten or harm anyone,Penalty Notice for Disorder,2
Asian,25-34,Anything to threaten or harm anyone,Summons / charged by post,1
Asian,25-34,Articles for use in criminal damage,A no further action disposal,9
Asian,25-34,Articles for use in criminal damage,Arrest,6
Asian,25-34,Controlled drugs,A no further action disposal,7472
Asian,25-34,Controlled drugs,Arrest,978
Asian,25-34,Controlled drugs,Caution (simple or conditional),9
Asian,25-34,Controlled drugs,Community resolution,1421
Asian,25-34,Controlled drugs,Penalty Notice for Disorder,615
Asian,25-34,Controlled drugs,Summons / charged by post,226
Asian,25-34,Evidence of offences under the Act,A no further action disposal,257
Asian,25-34,Evidence of offences under the Act,Arrest,41
Asian,25-34,Evidence of offences under the Act,Community resolution,13
Asian,25-34,Evidence of offences under the Act,Penalty Notice for Disorder,5
Asian,25-34,Evidence of offences under the Act,Summons / charged by post,1
Asian,25-34,Firearms,A no further action disposal,47
Asian,25-34,Firearms,Arrest,10
Asian,25-34,Firearms,Community resolution,4
Asian,25-34,Firearms,Penalty Notice for Disorder,5
Asian,25-34,Firearms,Summons / charged by post,1
Asian,25-34,Fireworks,A no further action disposal,12
Asian,25-34,Fireworks,Community resolution,2
Asian,25-34,Fireworks,Penalty Notice for Disorder,3
Asian,25-34,Offensive weapons,A no further action disposal,1033
Asian,25-34,Offensive weapons,Arrest,181
Asian,25-34,Offensive weapons,Caution (simple or conditional),1
Asian,25-34,Offensive weapons,Community resolution,27
Asian,25-34,Offensive weapons,Penalty Notice for Disorder,23
Asian,25-34,Offensive weapons,Summons / charged by post,8
Asian,25-34,Stolen goods,A no further action disposal,546
Asian,25-34,Stolen goods,Arrest,128
Asian,25-34,Stolen goods,Caution (simple or conditional),1
Asian,25-34,Stolen goods,Community resolution,34
Asian,25-34,Stolen goods,Penalty Notice for Disorder,18
Asian,25-34,Stolen goods,Summons / charged by post,13
Asian,over 34,Anything to threaten or harm anyone,A no further action disposal,75
Asian,over 34,Anything to threaten or harm anyone,Arrest,6
Asian,over 34,Anything to threaten or harm anyone,Community resolution,1
Asian,over 34,Anything to threaten or harm anyone,Penalty Notice for Disorder,2
Asian,over 34,Articles for use in criminal damage,A no further action disposal,14
Asian,over 34,Articles for use in criminal damage,Arrest,7
Asian,over 34,Controlled drugs,A no further action disposal,3401
Asian,over 34,Controlled drugs,Arrest,592
Asian,over 34,Controlled drugs,Caution (simple or conditional),7
Asian,over 34,Controlled drugs,Community resolution,370
Asian,over 34,Controlled drugs,Penalty Notice for Disorder,132
Asian,over 34,Controlled drugs,Summons / charged by post,80
Asian,over 34,Evidence of offences under the Act,A no further action disposal,279
Asian,over 34,Evidence of offences under the Act,Arrest,67
Asian,over 34,Evidence of offences under the Act,Community resolution,9
Asian,over 34,Evidence of offences under the Act,Penalty Notice for Disorder,3
Asian,over 34,Evidence of offences under the Act,Summons / charged by post,3
Asian,over 34,Firearms,A no further action disposal,22
Asian,over 34,Firearms,Arrest,9
Asian,over 34,Firearms,Community resolution,1
Asian,over 34,Firearms,Penalty Notice for Disorder,1
Asian,over 34,Fireworks,A no further action disposal,2
Asian,over 34,Fireworks,Penalty Notice for Disorder,1
Asian,over 34,Offensive weapons,A no further action disposal,387
Asian,over 34,Offensive weapons,Arrest,148
Asian,over 34,Offensive weapons,Community resolution,16
Asian,over 34,Offensive weapons,Penalty Notice for Disorder,4
Asian,over 34,Offensive weapons,Summons / charged by post,3
Asian,over 34,Stolen goods,A no further action disposal,520
Asian,over 34,Stolen goods,Arrest,145
Asian,over 34,Stolen goods,Community resolution,39
Asian,over 34,Stolen goods,Penalty Notice for Disorder,12
Asian,over 34,Stolen goods,Summons / charged by post,7
Asian,under 10,Controlled drugs,A no further action disposal,9
Asian,under 10,Controlled drugs,Penalty Notice for Disorder,1
Asian,under 10,Controlled drugs,Summons / charged by post,1
Asian,under 10,Fireworks,Penalty Notice for Disorder,1
Asian,under 10,Offensive weapons,A no further action disposal,3
Black,10-17,Anything to threaten or harm anyone,A no further action disposal,563
Black,10-17,Anything to threaten or harm anyone,Arrest,40
Black,10-17,Anything to threaten or harm anyone,Community resolution,4
Black,10-17,Anything to threaten or harm anyone,Summons / charged by post,5
Black,10-17,Articles for use in criminal damage,A no further action disposal,71
Black,10-17,Articles for use in criminal damage,Arrest,11
Black,10-17,Articles for use in criminal damage,Community resolution,3
Black,10-17,Controlled drugs,A no further action disposal,7042
Black,10-17,Controlled drugs,Arrest,944
Black,10-17,Controlled drugs,Caution (simple or conditional),29
Black,10-17,Controlled drugs,Community resolution,220
Black,10-17,Controlled drugs,Penalty Notice for Disorder,21
Black,10-17,Controlled drugs,Summons / charged by post,157
Black,10-17,Evidence of offences under the Act,A no further action disposal,721
Black,10-17,Evidence of offences under the Act,Arrest,128
Black,10-17,Evidence of offences under the Act,Caution (simple or conditional),1
Black,10-17,Evidence of offences under the Act,Community resolution,2
Black,10-17,Evidence of offences under the Act,Penalty Notice for Disorder,2
Black,10-17,Evidence of offences under the Act,Summons / charged by post,8
Black,10-17,Firearms,A no further action disposal,83
Black,10-17,Firearms,Arrest,16
Black,10-17,Fireworks,A no further action disposal,365
Black,10-17,Fireworks,Arrest,18
Black,10-17,Fireworks,Community resolution,12
Black,10-17,Fireworks,Penalty Notice for Disorder,3
Black,10-17,Fireworks,Summons / charged by post,1
Black,10-17,Offensive weapons,A no further action disposal,6858
Black,10-17,Offensive weapons,Arrest,966
Black,10-17,Offensive weapons,Caution (simple or conditional),1
Black,10-17,Offensive weapons,Community resolution,42
Black,10-17,Offensive weapons,Penalty Notice for Disorder,11
Black,10-17,Offensive weapons,Summons / charged by post,38
Black,10-17,Stolen goods,A no further action disposal,2464
Black,10-17,Stolen goods,Arrest,589
Black,10-17,Stolen goods,Caution (simple or conditional),3
Black,10-17,Stolen goods,Community resolution,45
Black,10-17,Stolen goods,Penalty Notice for Disorder,10
Black,10-17,Stolen goods,Summons / charged by post,25
Black,18-24,Anything to threaten or harm anyone,A no further action disposal,862
Black,18-24,Anything to threaten or harm anyone,Arrest,62
Black,18-24,Anything to threaten or harm anyone,Community resolution,46
Black,18-24,Anything to threaten or harm anyone,Penalty Notice for Disorder,20
Black,18-24,Anything to threaten or harm anyone,Summons / charged by post,5
Black,18-24,Articles for use in criminal damage,A no further action disposal,44
Black,18-24,Articles for use in criminal damage,Arrest,11
Black,18-24,Articles for use in criminal damage,Community resolution,5
Black,18-24,Articles for use in criminal damage,Penalty Notice for Disorder,1
Black,18-24,Articles for use in criminal damage,Summons / charged by post,1
Black,18-24,Controlled drugs,A no further action disposal,20461
Black,18-24,Controlled drugs,Arrest,2757
Black,18-24,Controlled drugs,Caution (simple or conditional),11
Black,18-24,Controlled drugs,Community resolution,3365
Black,18-24,Controlled drugs,Penalty Notice for Disorder,1179
Black,18-24,Controlled drugs,Summons / charged by post,479
Black,18-24,Evidence of offences under the Act,A no further action disposal,640
Black,18-24,Evidence of offences under the Act,Arrest,102
Black,18-24,Evidence of offences under the Act,Community resolution,36
Black,18-24,Evidence of offences under the Act,Penalty Notice for Disorder,19
Black,18-24,Evidence of offences under the Act,Summons / charged by post,5
Black,18-24,Firearms,A no further action disposal,183
Black,18-24,Firearms,Arrest,41
Black,18-24,Firearms,Community resolution,4
Black,18-24,Firearms,Penalty Notice for Disorder,1
Black,18-24,Fireworks,A no further action disposal,56
Black,18-24,Fireworks,Arrest,4
Black,18-24,Fireworks,Community resolution,4
Black,18-24,Fireworks,Penalty Notice for Disorder,4
Black,18-24,Fireworks,Summons / charged by post,2
Black,18-24,Offensive weapons,A no further action disposal,7209
Black,18-24,Offensive weapons,Arrest,1141
Black,18-24,Offensive weapons,Community resolution,232
Black,18-24,Offensive weapons,Penalty Notice for Disorder,176
Black,18-24,Offensive weapons,Summons / charged by post,69
Black,18-24,Stolen goods,A no further action disposal,1881
Black,18-24,Stolen goods,Arrest,418
Black,18-24,Stolen goods,Community resolution,107
Black,18-24,Stolen goods,Penalty Notice for Disorder,59
Black,18-24,Stolen goods,Summons / charged by post,32
Black,25-34,Anything to threaten or harm anyone,A no further action disposal,407
Black,25-34,Anything to threaten or harm anyone,Arrest,25
Black,25-34,Anything to threaten or harm anyone,Community resolution,34
Black,25-34,Anything to threaten or harm anyone,Penalty Notice for Disorder,10
Black,25-34,Anything to threaten or harm anyone,Summons / charged by post,10
Black,25-34,Articles for use in criminal damage,A no further action disposal,17
Black,25-34,Articles for use in criminal damage,Arrest,5
Black,25-34,Articles for use in criminal damage,Community resolution,5
Black,25-34,Articles for use in criminal damage,Penalty Notice for Disorder,1
Black,25-34,Controlled drugs,A no further action disposal,11339
Black,25-34,Controlled drugs,Arrest,2050
Black,25-34,Controlled drugs,Caution (simple or conditional),9
Black,25-34,Controlled drugs,Community resolution,2072
Black,25-34,Controlled drugs,Penalty Notice for Disorder,728
Black,25-34,Controlled drugs,Summons / charged by post,347
Black,25-34,Evidence of offences under the Act,A no further action disposal,430
Black,25-34,Evidence of offences under the Act,Arrest,96
Black,25-34,Evidence of offences under the Act,Community resolution,19
Black,25-34,Evidence of offences under the Act,Penalty Notice for Disorder,12
Black,25-34,Evidence of offences under the Act,Summons / charged by post,4
Black,25-34,Firearms,A no further action disposal,95
Black,25-34,Firearms,Arrest,52
Black,25-34,Firearms,Community resolution,5
Black,25-34,Firearms,Penalty Notice for Disorder,3
Black,25-34,Fireworks,A no further action disposal,10
Black,25-34,Fireworks,Arrest,2
Black,25-34,Fireworks,Community resolution,1
Black,25-34,Fireworks,Penalty Notice for Disorder,1
Black,25-34,Offensive weapons,A no further action disposal,2724
Black,25-34,Offensive weapons,Arrest,600
Black,25-34,Offensive weapons,Community resolution,106
Black,25-34,Offensive weapons,Penalty Notice for Disorder,69
Black,25-34,Offensive weapons,Summons / charged by post,34
Black,25-34,Stolen goods,A no further action disposal,1039
Black,25-34,Stolen goods,Arrest,360
Black,25-34,Stolen goods,Community resolution,66
Black,25-34,Stolen goods,Penalty Notice for Disorder,46
Black,25-34,Stolen goods,Summons / charged by post,22
Black,over 34,Anything to threaten or harm anyone,A no further action disposal,151
Black,over 34,Anything to threaten or harm anyone,Arrest,17
Black,over 34,Anything to threaten or harm anyone,Community resolution,9
Black,over 34,Anything to threaten or harm anyone,Penalty Notice for Disorder,4
Black,over 34,Articles for use in criminal damage,A no further action disposal,29
Black,over 34,Articles for use in criminal damage,Arrest,12
Black,over 34,Articles for use in criminal damage,Community resolution,2
Black,over 34,Controlled drugs,A no further action disposal,7389
Black,over 34,Controlled drugs,Arrest,1411
Black,over 34,Controlled drugs,Caution (simple or conditional),5
Black,over 34,Controlled drugs,Community resolution,953
Black,over 34,Controlled drugs,Penalty Notice for Disorder,270
Black,over 34,Controlled drugs,Summons / charged by post,125
Black,over 34,Evidence of offences under the Act,A no further action disposal,613
Black,over 34,Evidence of offences under the Act,Arrest,218
Black,over 34,Evidence of offences under the Act,Community resolution,10
Black,over 34,Evidence of offences under the Act,Penalty Notice for Disorder,5
Black,over 34,Evidence of offences under the Act,Summons / charged by post,5
Black,over 34,Firearms,A no further action disposal,77
Black,over 34,Firearms,Arrest,10
Black,over 34,Firearms,Community resolution,1
Black,over 34,Firearms,Penalty Notice for Disorder,1
Black,over 34,Fireworks,A no further action disposal,6
Black,over 34,Fireworks,Arrest,2
Black,over 34,Fireworks,Community resolution,1
Black,over 34,Offensive weapons,A no further action disposal,1130
Black,over 34,Offensive weapons,Arrest,456
Black,over 34,Offensive weapons,Community resolution,41
Black,over 34,Offensive weapons,Penalty Notice for Disorder,15
Black,over 34,Offensive weapons,Summons / charged by post,7
Black,over 34,Stolen goods,A no further action disposal,1178
Black,over 34,Stolen goods,Arrest,500
Black,over 34,Stolen goods,Caution (simple or conditional),2
Black,over 34,Stolen goods,Community resolution,86
Black,over 34,Stolen goods,Penalty Notice for Disorder,22
Black,over 34,Stolen goods,Summons / charged by post,27
